,Timestamp,What programme are you in?,Have you taken a course on machine learning?,Have you taken a course on information retrieval?,Have you taken a course on statistics?,Have you taken a course on databases?,What is your gender?,Chocolate makes you.....,When is your birthday (date)?,Number of neighbors sitting around you?,Did you stand up?,What is your stress level (0-100)?,"You can get 100 euros if you win a local DM competition, or we don’t hold any competitions and I give everyone some money (not the same amount!). How much do you think you would deserve then? ",Give a random number,Time you went to be Yesterday,What makes a good day for you (1)?,What makes a good day for you (2)?
0,3/16/2021 14:37:20,Tax Law - Tax And Technology,yes,no,mu,yes,male,neither,2021-07-06,2,no,85,50.0,8,22:15:00,Having completed a set task.,Happy people
1,3/24/2021 17:28:48,Artificial Intelligence,no,no,sigma,no,male,I have no idea what you are talking about,2021-12-07,0,no,0,100.0,3,22:00:00,Coffee,Sun
2,3/25/2021 12:31:29,Dmt,no,no,mu,no,male,fat,1997-09-23,4,no,40,5.0,33,00:00:00,Be Happy,Having a very productive day
3,3/25/2021 15:56:30,Computer Science,no,yes,mu,yes,male,I have no idea what you are talking about,1999-07-30,,no,42,5.0,2147483648,,If you give me a 10,If you give my team a 10
4,3/25/2021 17:41:04,Artificial Intelligence,yes,no,mu,yes,female,neither,1998-08-03,1,no,20,50.0,4,02:00:00,nice weather,having good food
5,3/26/2021 11:31:46,System Security,no,yes,sigma,yes,male,neither,1995-01-13,0,no,20,30.0,5,,weather,free day
6,3/26/2021 13:59:32,Quantitative Risk Management,yes,no,mu,no,male,fat,1997-07-28,0,no,20,0.0,34612,01:30:00,Classical music,Data mining :-P
7,3/26/2021 14:30:47,Computational Science,no,no,sigma,no,male,neither,1993-11-14,0,no,20,-,7,,Making progress in a tough course,"Watching the game, smoking some bud"
8,3/26/2021 15:31:08,Artificial Intelligence,no,no,mu,yes,male,neither,1997-08-02,0,no,99,1.0,6,01:45:00,Drum,Bass
9,3/26/2021 22:29:30,Artificial Intelligence,no,no,mu,yes,male,neither,2021-12-30,1,no,50,2.0,4,01:00:00,Meeting a friend,Being productive
10,3/26/2021 23:46:34,Computational Science,no,no,mu,no,male,fat,2021-06-05,2,no,90,30.0,7,01:00:00,Good coffe,Get motivated
11,3/27/2021 16:02:34,Artificial Intelligence,yes,no,mu,no,male,fat,1998-04-15,3,no,60,5.0,7,01:00:00,Start studying early,Finishing everything that I proposed for that day
12,3/27/2021 19:31:57,Big Data Engineering,no,yes,mu,no,male,neither,1977-02-07,4,unknown,75,-,7,12:00:00,feel of achievement ,"go out, talk to people "
13,3/27/2021 20:59:51,In Bioinformatics And Systems Biology,yes,no,mu,no,female,neither,1997-11-07,0,no,50,-,7,,relaxing and chill schedule,nice weather
14,3/27/2021 21:19:34,Human Language Technology,yes,no,mu,no,female,neither,1998-07-04,2,no,20,5.0,23,02:00:00,sunny wheather outside,coronavirus restrictions lifted
15,3/28/2021 10:27:38,Artificial Intelligence,yes,no,mu,yes,female,fat,1997-07-30,0,no,10,-,7,23:10:00,Socialize a bit,Tidy environment
16,3/28/2021 10:58:31,Computational Science,no,no,mu,no,female,fat,2021-04-13,0,yes,0,50.0,8,00:45:00,get up,food
