,srch_id,date_time,site_id,visitor_location_country_id,visitor_hist_starrating,visitor_hist_adr_usd,prop_country_id,prop_id,prop_starrating,prop_review_score,prop_brand_bool,prop_location_score1,prop_location_score2,prop_log_historical_price,position,price_usd,promotion_flag,srch_destination_id,srch_length_of_stay,srch_booking_window,srch_adults_count,srch_children_count,srch_room_count,srch_saturday_night_bool,srch_query_affinity_score,orig_destination_distance,random_bool,comp1_rate,comp1_inv,comp1_rate_percent_diff,comp2_rate,comp2_inv,comp2_rate_percent_diff,comp3_rate,comp3_inv,comp3_rate_percent_diff,comp4_rate,comp4_inv,comp4_rate_percent_diff,comp5_rate,comp5_inv,comp5_rate_percent_diff,comp6_rate,comp6_inv,comp6_rate_percent_diff,comp7_rate,comp7_inv,comp7_rate_percent_diff,comp8_rate,comp8_inv,comp8_rate_percent_diff,click_bool,gross_bookings_usd,booking_bool
0,1,2013-04-04 08:32:15,12,187,,,219,893,3,3.5,1,2.83,0.0438,4.95,27,104.77,0,23246,1,0,4,0,1,1,,,1,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
28,4,2012-12-31 08:59:22,5,219,,,219,3625,4,4.0,0,3.22,0.2544,5.98,21,295.0,0,12588,2,46,1,0,1,1,,238.35,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
60,6,2013-06-05 12:27:51,14,100,,,100,10759,0,2.0,0,1.95,,0.0,4,97.63,0,21106,1,5,2,0,1,0,,652.84,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,0,,0
65,8,2013-03-20 17:50:44,5,219,,,219,10250,3,3.5,1,1.39,0.0321,4.64,15,82.0,0,7082,1,0,1,0,1,0,,5.4,0,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,0,,0
86,11,2013-02-25 08:39:33,5,219,,,219,6492,2,4.0,1,2.3,,3.91,36,47.0,0,12610,1,39,2,0,1,1,,284.56,1,,,,1.0,0.0,12.0,0.0,0.0,,,,,,,,,,,,,,1.0,0.0,12.0,0,,0
119,12,2013-03-15 14:55:16,5,219,,,158,7814,3,3.5,0,0.0,0.0476,4.46,25,43.0,1,26648,2,21,3,0,1,1,,9270.55,1,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0,,0
147,17,2012-11-05 19:52:18,18,129,,,31,2196,4,4.5,0,6.83,0.7355,5.58,29,275.11,1,6285,4,194,4,1,2,1,,433.61,1,,,,,,,,,,,,,0.0,0.0,,1.0,0.0,3.0,1.0,0.0,3.0,,,,0,,0
178,21,2013-02-18 17:16:25,15,55,,,216,6225,2,3.5,0,3.85,0.028999999999999998,4.95,12,108.26,1,18161,4,62,1,0,1,0,,,0,,,,,,,,,,1.0,0.0,7.0,,,,,,,,,,,,,0,,0
207,25,2012-12-11 13:03:42,5,219,,,219,2863,3,4.0,1,1.95,0.027000000000000003,4.51,1,68.0,0,3735,1,0,2,0,1,0,,766.18,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
240,28,2012-11-26 10:13:17,5,219,,,219,5739,4,4.5,1,2.64,0.0468,5.38,3,110.0,1,24232,3,27,1,0,1,0,,116.36,0,,,,,,,,,,,,,1.0,0.0,31.0,,,,,,,0.0,0.0,,0,,0
274,29,2013-02-26 19:42:22,18,129,,,219,1722,3,4.0,0,5.72,0.1136,5.81,1,248.17,1,5143,6,144,5,0,1,0,,3748.9,0,,,,,,,,,,,,,,,,,,,,,,,,,1,1927.64,1
290,30,2013-02-11 01:28:38,24,216,,,219,13155,3,3.5,1,4.76,0.3273,5.14,3,132.21,1,20319,9,13,2,0,1,0,,,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
318,31,2013-05-28 22:05:02,24,216,,,15,1051,4,3.0,0,1.1,,5.7,9,120.83,0,19144,1,214,2,2,1,1,,,1,,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,0,,0
344,36,2013-04-03 08:54:17,22,92,,,219,6214,3,3.0,1,1.39,0.1142,4.43,6,48.77,1,2715,2,11,1,0,1,0,,,0,,,,1.0,0.0,33.0,,,,,,,,,,,,,,,,,,,0,,0
371,39,2013-04-06 18:08:58,5,219,,,219,4426,3,4.0,1,1.61,,4.66,9,135.0,0,24361,1,7,2,2,1,1,,43.34,0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0,,0
391,40,2012-12-26 11:38:48,32,220,,,98,1795,3,4.5,0,4.37,0.1573,4.31,32,58.12,0,6753,2,90,2,0,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
423,42,2012-12-19 14:24:00,14,100,,,100,2068,2,4.0,1,1.61,0.1238,4.49,7,68.77,0,5740,1,87,2,0,1,1,,55.71,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
434,43,2013-01-09 16:45:45,5,219,,,219,7011,2,2.0,1,2.94,,4.94,29,45.0,0,15066,1,11,2,0,1,0,,114.93,1,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
466,44,2013-03-19 15:57:46,15,55,,,55,2464,4,4.5,0,5.06,0.0279,5.02,33,63.42,0,24752,1,1,1,0,1,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
498,45,2013-05-18 09:25:08,14,100,,,219,2924,4,4.5,1,2.3,0.0499,5.27,3,174.11,0,10948,1,0,2,0,1,1,,,0,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,0,,0
